CountyFIPS,StateDesc,StateAbbr,CountyName,scoring_referent,stroke_belt,cle8_point,cle8_lower,cle8_upper,cle8_range,cvh_cat_point,cvh_cat_lower,cvh_cat_upper,cvh_cat_stable,behavior_point,behavior_lower,behavior_upper,behavior_range,factor_point,factor_lower,factor_upper,factor_range,lpa_point,lpa_lower,lpa_upper,lpa_range,lpa_ci_width_pp,smoking_point,smoking_lower,smoking_upper,smoking_range,smoking_ci_width_pp,sleep_point,sleep_lower,sleep_upper,sleep_range,sleep_ci_width_pp,diet_point,diet_lower,diet_upper,diet_range,diet_ci_width_pp,bp_point,bp_lower,bp_upper,bp_range,bp_ci_width_pp,chol_point,chol_lower,chol_upper,chol_range,chol_ci_width_pp,glucose_point,glucose_lower,glucose_upper,glucose_range,glucose_ci_width_pp,obesity_point,obesity_lower,obesity_upper,obesity_range,obesity_ci_width_pp
48139,Texas,TX,Ellis,within_state,partial,76.25,76.25,73.75,2.5,Moderate,Moderate,Moderate,TRUE,70,70,67.5,2.5,82.5,82.5,80,2.5,90,90,80,10,8.200000000000003,90,90,90,0,3.799999999999999,30,30,30,0,13.200000000000003,70,70,70,0,3.6999999999999993,70,80,70,10,8,90,90,80,10,9.299999999999997,90,90,90,0,3.0999999999999996,80,70,80,10,14.399999999999999
48141,Texas,TX,El Paso,within_state,partial,57.5,37.5,65,27.5,Moderate,Low,Moderate,FALSE,57.5,45,62.5,17.5,57.5,30,67.5,37.5,40,30,50,20,7.100000000000001,90,90,90,0,3.5,80,40,90,50,8.699999999999996,20,20,20,0,4.5,50,30,60,30,5.800000000000001,100,50,100,50,6.600000000000001,20,20,20,0,3.6999999999999993,60,20,90,70,9.5
48143,Texas,TX,Erath,within_state,partial,62.5,63.75,60,3.75,Moderate,Moderate,Moderate,TRUE,60,60,55,5,65,67.5,65,2.5,70,70,60,10,9,50,50,50,0,4.400000000000002,40,40,30,10,14,80,80,80,0,3.6999999999999993,80,80,80,0,8.099999999999998,50,60,60,0,9.400000000000002,80,80,70,10,3.200000000000001,50,50,50,0,15.599999999999994
48145,Texas,TX,Falls,within_state,partial,25,28.75,23.75,5,Low,Low,Low,TRUE,22.5,25,22.5,2.5,27.5,32.5,25,7.5,30,30,30,0,9.700000000000003,20,20,20,0,4.799999999999997,20,30,20,10,14.600000000000001,20,20,20,0,4.599999999999998,10,10,10,0,9.100000000000001,50,70,40,30,10,30,30,30,0,3.8000000000000007,20,20,20,0,16.800000000000004
48147,Texas,TX,Fannin,within_state,partial,70,77.5,65,12.5,Moderate,Moderate,Moderate,TRUE,67.5,72.5,65,7.5,72.5,82.5,65,17.5,80,80,80,0,8.8,60,70,60,10,4.499999999999998,60,70,50,20,15.099999999999998,70,70,70,0,3.8000000000000007,50,60,40,20,8.599999999999998,80,90,70,20,9.600000000000001,90,90,80,10,3.3000000000000007,70,90,70,20,16.900000000000002
48149,Texas,TX,Fayette,within_state,partial,83.75,83.75,77.5,6.25,High,High,Moderate,FALSE,85,85,82.5,2.5,82.5,82.5,72.5,10,90,90,90,0,8.200000000000003,70,70,70,0,4.100000000000001,90,90,80,10,14.200000000000003,90,90,90,0,3.1999999999999993,80,80,70,10,8.599999999999998,70,70,50,20,9.600000000000001,90,90,90,0,3,90,90,80,10,15.699999999999996
48151,Texas,TX,Fisher,within_state,partial,75,55,83.75,28.75,Moderate,Moderate,High,FALSE,70,45,82.5,37.5,80,65,85,20,60,50,80,30,4.5,60,40,70,30,2.3000000000000007,80,20,100,80,7.100000000000001,80,70,80,10,2.099999999999998,90,90,80,10,8.2,80,90,70,20,9.700000000000003,70,50,90,40,1.8000000000000007,80,30,100,70,7.900000000000006
48153,Texas,TX,Floyd,within_state,partial,35,33.75,33.75,0,Low,Low,Low,TRUE,27.5,22.5,27.5,5,42.5,45,40,5,10,10,10,0,9.100000000000001,30,20,30,10,4.100000000000001,50,40,50,10,13.299999999999997,20,20,20,0,5.100000000000001,80,80,70,10,8.500000000000004,40,50,30,20,9.899999999999999,20,20,20,0,3.5999999999999996,30,30,40,10,15.199999999999996
48155,Texas,TX,Foard,within_state,partial,31.25,25,47.5,22.5,Low,Low,Low,TRUE,27.5,20,50,30,35,30,45,15,30,30,50,20,5.200000000000003,10,10,20,10,2.900000000000002,30,10,90,80,7.899999999999999,40,30,40,10,2.6999999999999993,20,30,20,10,8.699999999999996,40,50,30,20,9.799999999999997,40,30,50,20,2.0999999999999996,40,10,80,70,9
48157,Texas,TX,Fort Bend,within_state,partial,91.25,91.25,91.25,0,High,High,High,TRUE,97.5,95,97.5,2.5,85,87.5,85,2.5,100,100,100,0,7.300000000000001,100,100,100,0,2.9000000000000004,90,80,90,10,12.299999999999997,100,100,100,0,3,90,90,90,0,7.800000000000004,70,70,70,0,8.899999999999999,80,90,80,10,3.200000000000001,100,100,100,0,12.8
