"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Lafayette Parish, LA","22055",2079,741821,280.3,268.2,292.3,6.1
,"Lafourche Parish, LA","22057",992,288430,343.9,322.5,365.3,10.9
,"LaSalle Parish, LA","22059",197,44363,444.1,382.1,506.1,31.6
,"Lincoln Parish, LA","22061",339,144243,235.0,210.0,260.0,12.8
,"Livingston Parish, LA","22063",1176,444400,264.6,249.5,279.8,7.7
,"Madison Parish, LA","22065",136,28523,476.8,396.7,556.9,40.9
,"Morehouse Parish, LA","22067",414,73426,563.8,509.5,618.1,27.7
,"Natchitoches Parish, LA","22069",480,109980,436.4,397.4,475.5,19.9
,"Orleans Parish, LA","22071",2959,1110856,266.4,256.8,276.0,4.9
,"Ouachita Parish, LA","22073",1369,474038,288.8,273.5,304.1,7.8
,"Plaquemines Parish, LA","22075",177,68205,259.5,221.3,297.7,19.5
,"Pointe Coupee Parish, LA","22077",360,60507,595.0,533.5,656.4,31.4
,"Rapides Parish, LA","22079",1956,382103,511.9,489.2,534.6,11.6
,"Red River Parish, LA","22081",111,22340,496.9,404.4,589.3,47.2
,"Richland Parish, LA","22083",283,59343,476.9,421.3,532.5,28.3
,"Sabine Parish, LA","22085",339,66026,513.4,458.8,568.1,27.9
,"St. Bernard Parish, LA","22087",362,133200,271.8,243.8,299.8,14.3
,"St. Charles Parish, LA","22089",370,153900,240.4,215.9,264.9,12.5
,"St. Helena Parish, LA","22091",128,32508,393.7,325.5,462.0,34.8
,"St. James Parish, LA","22093",249,58356,426.7,373.7,479.7,27.0
,"St. John the Baptist Parish, LA","22095",450,121550,370.2,336.0,404.4,17.5
,"St. Landry Parish, LA","22097",1077,245308,439.0,412.8,465.3,13.4
,"St. Martin Parish, LA","22099",640,153833,416.0,383.8,448.3,16.4
,"St. Mary Parish, LA","22101",590,143076,412.4,379.1,445.6,17.0
,"St. Tammany Parish, LA","22103",2242,818234,274.0,262.7,285.3,5.8
,"Tangipahoa Parish, LA","22105",1321,410329,321.9,304.6,339.3,8.9
,"Tensas Parish, LA","22107",85,11653,729.4,582.6,901.9,79.1
,"Terrebonne Parish, LA","22109",1045,317110,329.5,309.6,349.5,10.2
,"Union Parish, LA","22111",263,62462,421.1,370.2,471.9,26.0
,"Vermilion Parish, LA","22113",672,171148,392.6,363.0,422.3,15.1
,"Vernon Parish, LA","22115",494,141524,349.1,318.3,379.8,15.7
,"Washington Parish, LA","22117",614,135023,454.7,418.8,490.7,18.4
,"Webster Parish, LA","22119",609,107065,568.8,523.6,614.0,23.0
,"West Baton Rouge Parish, LA","22121",204,84092,242.6,209.3,275.9,17.0
,"West Carroll Parish, LA","22123",128,28392,450.8,372.7,528.9,39.8
,"West Feliciana Parish, LA","22125",133,46246,287.6,238.7,336.5,24.9
,"Winn Parish, LA","22127",248,39909,621.4,544.1,698.8,39.5
,"Androscoggin County, ME","23001",1132,337822,335.1,315.6,354.6,10.0
,"Aroostook County, ME","23003",947,201465,470.1,440.1,500.0,15.3
,"Cumberland County, ME","23005",2401,922912,260.2,249.7,270.6,5.3
,"Franklin County, ME","23007",294,90989,323.1,286.2,360.1,18.8
,"Hancock County, ME","23009",580,169419,342.3,314.5,370.2,14.2
,"Kennebec County, ME","23011",1275,377285,337.9,319.4,356.5,9.5
,"Knox County, ME","23013",449,123225,364.4,330.7,398.1,17.2
,"Lincoln County, ME","23015",347,108550,319.7,286.0,353.3,17.2
,"Oxford County, ME","23017",567,178029,318.5,292.3,344.7,13.4
,"Penobscot County, ME","23019",1613,461781,349.3,332.3,366.3,8.7
,"Piscataquis County, ME","23021",227,52068,436.0,379.3,492.7,28.9
,"Sagadahoc County, ME","23023",305,111977,272.4,241.8,302.9,15.6
,"Somerset County, ME","23025",603,152992,394.1,362.7,425.6,16.1
,"Waldo County, ME","23027",436,120773,361.0,327.1,394.9,17.3
,"Washington County, ME","23029",453,94113,481.3,437.0,525.7,22.6
,"York County, ME","23031",1824,649909,280.7,267.8,293.5,6.6
,"Allegany County, MD","24001",960,202269,474.6,444.6,504.6,15.3
,"Anne Arundel County, MD","24003",4375,1778204,246.0,238.7,253.3,3.7
,"Baltimore County, MD","24005",8349,2540180,328.7,321.6,335.7,3.6
,"Calvert County, MD","24009",759,283229,268.0,248.9,287.0,9.7
,"Caroline County, MD","24011",349,100412,347.6,311.1,384.0,18.6
,"Carroll County, MD","24013",1472,525817,279.9,265.6,294.2,7.3
,"Cecil County, MD","24015",1142,314519,363.1,342.0,384.2,10.7
,"Charles County, MD","24017",1167,510773,228.5,215.4,241.6,6.7
,"Dorchester County, MD","24019",475,98094,484.2,440.7,527.8,22.2
,"Frederick County, MD","24021",1876,860305,218.1,208.2,227.9,5.0
,"Garrett County, MD","24023",362,85704,422.4,378.9,465.9,22.2
,"Harford County, MD","24025",2159,791488,272.8,261.3,284.3,5.9
,"Howard County, MD","24027",1743,1005941,173.3,165.1,181.4,4.2
,"Kent County, MD","24029",250,57893,431.8,378.3,485.4,27.3
,"Montgomery County, MD","24031",5960,3165822,188.3,183.5,193.0,2.4
,"Prince George's County, MD","24033",6661,2849707,233.7,228.1,239.4,2.9
,"Queen Anne's County, MD","24035",427,155017,275.5,249.3,301.6,13.3
,"St. Mary's County, MD","24037",741,344626,215.0,199.5,230.5,7.9
,"Somerset County, MD","24039",378,74040,510.5,459.1,562.0,26.3
,"Talbot County, MD","24041",382,113381,336.9,303.1,370.7,17.2
,"Washington County, MD","24043",1571,466340,336.9,320.2,353.5,8.5
,"Wicomico County, MD","24045",1179,313444,376.1,354.7,397.6,11.0
,"Worcester County, MD","24047",816,161169,506.3,471.6,541.0,17.7
,"Baltimore city, MD","24510",6133,1711668,358.3,349.3,367.3,4.6
,"Barnstable County, MA","25001",2549,696603,365.9,351.7,380.1,7.2
,"Berkshire County, MA","25003",1383,383334,360.8,341.8,379.8,9.7
,"Bristol County, MA","25005",4527,1742073,259.9,252.3,267.4,3.9
,"Dukes County, MA","25007",154,62784,245.3,206.5,284.0,19.8
,"Essex County, MA","25009",5730,2423928,236.4,230.3,242.5,3.1
,"Franklin County, MA","25011",677,212745,318.2,294.3,342.2,12.2
,"Hampden County, MA","25013",3855,1384050,278.5,269.7,287.3,4.5
,"Hampshire County, MA","25015",1170,486662,240.4,226.6,254.2,7.0
,"Middlesex County, MA","25017",9213,4855799,189.7,185.9,193.6,2.0
,"Nantucket County, MA","25019",78,43356,179.9,142.2,224.5,20.4
,"Norfolk County, MA","25021",4681,2177509,215.0,208.8,221.1,3.1
,"Plymouth County, MA","25023",4106,1601380,256.4,248.6,264.2,4.0
,"Suffolk County, MA","25025",3562,2306051,154.5,149.4,159.5,2.6
,"Worcester County, MA","25027",5603,2591822,216.2,210.5,221.8,2.9
,"Alcona County, MI","26001",225,31141,722.5,628.1,816.9,48.2
